Sentence,Organizations
Best Mobile Banking App,Best Consumer Digital Bank by,World Finance Digital Banking Awards
People’s Bank,bestowed with,the accolades
Best Consumer Digital Bank,The Best Digitised Bank in,Sri Lanka
Best Consumer Digital Bank,The Best Digitised Bank at,the Asia Money Best Bank Awards Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank in,Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank by,World Finance Digital Banking Awards
People’s Bank,bestowed with,the accolades
Best Consumer Digital Bank,The Best Digitised Bank in,Sri Lanka
Best Consumer Digital Bank,The Best Digitised Bank at,the Asia Money Best Bank Awards Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank in,Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank by,World Finance Digital Banking Awards
People’s Bank,bestowed with,the accolades
Best Consumer Digital Bank,The Best Digitised Bank in,Sri Lanka
Best Consumer Digital Bank,The Best Digitised Bank at,the Asia Money Best Bank Awards Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank in,Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank by,World Finance Digital Banking Awards
People’s Bank,bestowed with,the accolades
Best Consumer Digital Bank,The Best Digitised Bank in,Sri Lanka
Best Consumer Digital Bank,The Best Digitised Bank at,the Asia Money Best Bank Awards Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank in,Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank by,World Finance Digital Banking Awards
People’s Bank,bestowed with,the accolades
Best Consumer Digital Bank,The Best Digitised Bank in,Sri Lanka
Best Consumer Digital Bank,The Best Digitised Bank at,the Asia Money Best Bank Awards Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank in,Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank by,World Finance Digital Banking Awards
People’s Bank,bestowed with,the accolades
Best Consumer Digital Bank,The Best Digitised Bank in,Sri Lanka
Best Consumer Digital Bank,The Best Digitised Bank at,the Asia Money Best Bank Awards Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank in,Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank by,World Finance Digital Banking Awards
People’s Bank,bestowed with,the accolades
Best Consumer Digital Bank,The Best Digitised Bank in,Sri Lanka
Best Consumer Digital Bank,The Best Digitised Bank at,the Asia Money Best Bank Awards Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank in,Sri Lanka
Best Mobile Banking App,Best Consumer Digital Bank by,World Finance Digital Banking Awards
The International Chamber of Commerce of Sri Lanka,ranked among,Top
People’s Bank,ranked among,Top
The International Chamber of Commerce of Sri Lanka,ranked among,Top
People’s Bank,ranked among,Top
The International Chamber of Commerce of Sri Lanka,ranked among,Top
People’s Bank,ranked among,Top
The International Chamber of Commerce of Sri Lanka,ranked among,Top
People’s Bank,ranked among,Top
The International Chamber of Commerce of Sri Lanka,ranked among,Top
People’s Bank,ranked among,Top
People’s Bank,recognised as,one
People’s Bank,recognised as,one
K-Seeds,ranked at,the top most position
K-Seeds,ranked based,on
People’s Bank,ranked at,the top most position
People’s Bank,ranked based,on
K-Seeds,ranked at,the top most position
K-Seeds,ranked based,on
People’s Bank,ranked at,the top most position
People’s Bank,ranked based,on
K-Seeds,ranked at,the top most position
K-Seeds,ranked based,on
People’s Bank,ranked at,the top most position
People’s Bank,ranked based,on
K-Seeds,ranked at,the top most position
K-Seeds,ranked based,on
People’s Bank,ranked at,the top most position
People’s Bank,ranked based,on
NDB Bank PLC,NDB Bank PLC Throughout, 
NDB Bank PLC,NDB Bank PLC Throughout,this webinar
NDB Investment Bank Ltd.,NDB Bank PLC Throughout, 
NDB Investment Bank Ltd.,NDB Bank PLC Throughout,this webinar
NDB Bank PLC,NDB Bank PLC Throughout, 
NDB Bank PLC,NDB Bank PLC Throughout,this webinar
NDB Investment Bank Ltd.,NDB Bank PLC Throughout, 
NDB Investment Bank Ltd.,NDB Bank PLC Throughout,this webinar
 Nations Trust Bank PLC,is among,the top 15 business establishments
 Nations Trust Bank PLC,is among,the top 15 business establishments
the Bank,serves with,an enviable portfolio
Best Bank for CSR,‘Best Bank for,SMEs
Best Bank for CSR,‘Best Bank for,SMEs
ComBank Biz Club,launched with,the objective
ComBank Biz Club,launched with,the objective
ComBank Biz Club,launched with,the objective
ComBank Biz Club,launched with,the objective
 Commercial Bank,assisted to,date
 Commercial Bank,assisted to,date
Commercial Bank,donated In, 
Commercial Bank,donated In,2020
Commercial Bank,donated to,the National COVID-19 Healthcare and Social Security Fund
Commercial Bank,donated In, 
Commercial Bank,donated In,2020
Commercial Bank,donated to,the National COVID-19 Healthcare and Social Security Fund
Commercial Bank,donated In, 
Commercial Bank,donated In,2020
Commercial Bank,donated to,the National COVID-19 Healthcare and Social Security Fund
Commercial Bank,donated In, 
Commercial Bank,donated In,2020
Commercial Bank,donated to,the National COVID-19 Healthcare and Social Security Fund
Coding Clubs,set in,50 schools
Coding Clubs,set in,50 schools
 Perera Auburn Perera,appointed as,an Independent Non-Executive Director
 Perera Auburn Perera,appointed as,an Independent Non-Executive Director
 Perera Auburn Perera,appointed as,an Independent Non-Executive Director
LB Finance,joined in,2004
LB Finance,joined as,General Manager
LB Finance,joined in,2004
LB Finance,joined as,General Manager
LB Microfinance Myanmar Company Ltd,an Executive Director of,LB Finance PLC subsidiary
LB Microfinance Myanmar Company Ltd,an Executive Director in,Myanmar
LB Microfinance Myanmar Company Ltd,an Executive Director of,LB Finance PLC subsidiary
LB Microfinance Myanmar Company Ltd,an Executive Director in,Myanmar
LB Microfinance Myanmar Company Ltd,an Executive Director of,LB Finance PLC subsidiary
LB Microfinance Myanmar Company Ltd,an Executive Director in,Myanmar
LB Microfinance Myanmar Company Ltd,an Executive Director of,LB Finance PLC subsidiary
LB Microfinance Myanmar Company Ltd,an Executive Director in,Myanmar
LB Microfinance Myanmar Company Ltd,an Executive Director of,LB Finance PLC subsidiary
LB Microfinance Myanmar Company Ltd,an Executive Director in,Myanmar
LB Microfinance Myanmar Company Ltd,an Executive Director of,LB Finance PLC subsidiary
LB Microfinance Myanmar Company Ltd,an Executive Director in,Myanmar
LB Microfinance Myanmar Company Ltd,an Executive Director of,LB Finance PLC subsidiary
LB Microfinance Myanmar Company Ltd,an Executive Director in,Myanmar
 Cooray,serves as,the Deputy General Manager/Chief Transformation Officer
 Cooray,serves as,the Deputy General Manager/Chief Transformation Officer
the Hatton National Bank PLC,achieved Under, 
the Hatton National Bank PLC,achieved Under,her leadership
the Hatton National Bank PLC,achieved in,the last 10 years
the Hatton National Bank PLC,achieved Under, 
the Hatton National Bank PLC,achieved Under,her leadership
the Hatton National Bank PLC,achieved in,the last 10 years
Cooray,served In, 
Cooray,served In,2017
Cooray,served as,the Chairwoman
Cooray,served In, 
Cooray,served In,2017
Cooray,served as,the Chairwoman
Cooray,served In, 
Cooray,served In,2017
Cooray,served as,the Chairwoman
HNB General Insurance (,incorporated in,"January, 2015"
 HNBA,ranked within,the Top 100 Brands
 HNBA,ranked within,the Top 100 Brands
 HNBA,ranked within,the Top 100 Brands
 HNBA,ranked within,the Top 100 Brands
 Euromoney Magazine,recognized as,being
 Euromoney Magazine,recognized as,being
Wholesale Banking Group,provider with,a fully-fledged International Trade Services arm
Wholesale Banking Group,provider with,a fully-fledged International Trade Services arm
Wholesale Banking Group,provider with,a fully-fledged International Trade Services arm
Wholesale Banking Group,provider with,a fully-fledged International Trade Services arm
HNB,complete within,the shortest possible time-frame
Centralised International Trade Services Department,located at,Janadhipathi Mawatha
Centralised International Trade Services Department,located in,close proximity
HNB,complete within,the shortest possible time-frame
Centralised International Trade Services Department,located at,Janadhipathi Mawatha
Centralised International Trade Services Department,located in,close proximity
HNB,complete within,the shortest possible time-frame
Centralised International Trade Services Department,located at,Janadhipathi Mawatha
Centralised International Trade Services Department,located in,close proximity
HNB,complete within,the shortest possible time-frame
Centralised International Trade Services Department,located at,Janadhipathi Mawatha
Centralised International Trade Services Department,located in,close proximity
HNB,complete within,the shortest possible time-frame
Centralised International Trade Services Department,located at,Janadhipathi Mawatha
Centralised International Trade Services Department,located in,close proximity
HNB,complete within,the shortest possible time-frame
Centralised International Trade Services Department,located at,Janadhipathi Mawatha
Centralised International Trade Services Department,located in,close proximity
HNB,selected as,the preferred bank
HNB,choose as,the preferred guarantee issuance bank
HNB,choose as,the preferred guarantee issuance bank
HNB,served for,which
HNB,served as,the lead bank
HNB,served for,which
HNB,served as,the lead bank
HNB,resumed With, 
HNB,resumed With,the onset
HNB,resumed under,stringent new health guidelines
the Bank,partnered During, 
the Bank,partnered During,this period
the Bank,partnered with,the Export Development Board
the Bank,partnered During, 
the Bank,partnered During,this period
the Bank,partnered with,the Export Development Board
HNB,establishing at,selected strategic locations
People’s Leasing Fleet Management Ltd.,serves as,the Chief Executive Officer/General Manager
People’s Leasing Fleet Management Ltd.,serves as,the Chief Executive Officer/General Manager
Sole Adviser and Structuring Bank for a Dual Tranche,the mandate Sole Adviser and Structuring Bank for a Dual Tranche,Loan Facility
Sole Adviser and Structuring Bank for a Dual Tranche,the mandate Sole Adviser and Structuring Bank for a Dual Tranche,Loan Facility
Executive Committee,a member of,the bank
Executive Committee,a member of,the bank
DFCC Bank,joined following,a cross posting
DFCC Bank,joined as,the Country Manager
DFCC Bank,joined as,","
DFCC Bank,joined as,by
DFCC Bank,joined following,a cross posting
DFCC Bank,joined as,the Country Manager
DFCC Bank,joined as,","
DFCC Bank,joined as,by
the Financial Institutions Group,headed for,HSBC Sri Lanka
the Financial Institutions Group,headed before,joining
the Financial Institutions Group,headed for,HSBC Sri Lanka
the Financial Institutions Group,headed before,joining
the Financial Institutions Group,headed for,HSBC Sri Lanka
the Financial Institutions Group,headed before,joining
the Council in the year 2019,served as,the Deputy Chairman
the Council in the year 2019,served as,the Deputy Chairman
the Council in the year 2019,served as,the Deputy Chairman
 Rohan,holds from,the University of Colombo and MSc in Management
 Rohan,holds from,the University of Colombo and MSc in Management
 Rohan,holds from,the University of Colombo and MSc in Management
 Rohan,holds from,the University of Colombo and MSc in Management
 Business Administration, Business Administration from,the University of Sri Jayewardenepura
 Business Administration, Business Administration from,the University of Sri Jayewardenepura
 Business Administration, Business Administration from,the University of Sri Jayewardenepura
 Business Administration, Business Administration from,the University of Sri Jayewardenepura
DFCC Prestige,DFCC Prestige with,together
DFCC Prestige,DFCC Prestige with,existing and potential home loan customers
DFCC Prestige,DFCC Prestige with,a loan value
ASPI,All Share Price Index of,the CSE
ASPI,All Share Price Index of,the CSE
People’s Bank,adjudged as,the Best Digital Bank
People’s Bank,adjudged as,the Best Digital Bank
People’s Bank,adjudged as,the Best Digital Bank
People’s Bank,being in,terms
its ‘People’s Wave’ mobile banking App,remains with,"over 900,000 downloads"
iPay,introduce to,their friends
iPay,introducing to,a minimum
iPay,is in,terms
iPay,is in,terms
iPay,is With, 
iPay,is With,an architecture
LOLC Finance,operating as,its merchant acquiring partner
iPay,acclaimed With, 
iPay,acclaimed With,operating
iPay,acclaimed as,a mobile app
LOLC Finance,operating as,its merchant acquiring partner
iPay,acclaimed With, 
iPay,acclaimed With,operating
iPay,acclaimed as,a mobile app
The Central Bank of Sri Lanka,declared as,the Year of Digital Transactions
The Central Bank of Sri Lanka,declared as,the Year of Digital Transactions
 National Savings Bank,keeps at,the forefront
 National Savings Bank,keeps at,the forefront
 National Savings Bank,keeps at,the forefront
 NSB,joined with,the national program
  Pan Asia Bank,handing over,the Merit Awards
  Pan Asia Bank,handing to,the officials
  Pan Asia Bank,handing over,the Merit Awards
  Pan Asia Bank,handing to,the officials
  Pan Asia Bank,handing over,the Merit Awards
  Pan Asia Bank,handing to,the officials
  Pan Asia Bank,handing over,the Merit Awards
  Pan Asia Bank,handing to,the officials
  Pan Asia Bank,handing over,the Merit Awards
  Pan Asia Bank,handing to,the officials
  Pan Asia Bank,handing over,the Merit Awards
  Pan Asia Bank,handing to,the officials
LB Finance PLC,clinched at,the prestigious SLIM People
LB Finance PLC,clinched at,the prestigious SLIM People
LB Finance,continues during,Even
LB Finance,continues during,tough economic conditions
 LB Finance PLC,licensed under,the Finance Business Act
 LB Finance PLC,licensed under,the Finance Business Act
 LB Finance,has from,Fitch rating
 LB Finance,has from,Fitch rating
(CLA,the Colombo Leadership Academy for,Leadership Excellence
(CLA,the Colombo Leadership Academy for,Leadership Excellence
Allianz,demonstrated During, 
Allianz,demonstrated During,the culture scan
Allianz Insurance Lanka Ltd.,Commenting on,the award
The Bank of the People,reasserted by,securing
The Bank of the People,reasserted by,securing
a National Long-Term Rating,carries by,Fitch Ratings Lanka
a National Long-Term Rating,carries by,Fitch Ratings Lanka
People’s Bank,embarked With, 
People’s Bank,embarked With,a view
People’s Bank,embarked on,a digital transformation journey
People’s Bank,embarked by,taking
People’s Bank,prides for,being
People's Bank,earned from,the people
People's Bank,earned by,fulfilling
HNB Assurance PLC,Paying to,the gracious spirit
HNB Assurance PLC,Paying to,the gracious spirit
HNB Assurance PLC,Paying to,the gracious spirit
HNB Assurance PLC,Paying to,the gracious spirit
HNBA,partnered in,addition
HNBA,partnered with,Durdans Hospital
HNBA,partnered in,addition
HNBA,partnered with,Durdans Hospital
HNBA,partnered in,addition
HNBA,partnered with,Durdans Hospital
HNBA,partnered in,addition
HNBA,partnered with,Durdans Hospital
HNBA,partnered in,addition
HNBA,partnered with,Durdans Hospital
HNBA,partnered in,addition
HNBA,partnered with,Durdans Hospital
Bank of Ceylon,elevated as,the ‘People’s Banking Service Provider
Bank of Ceylon,elevated as,the ‘People’s Banking Service Provider
AIA,emerged at,the end
the Company,said in,a statement
the Company,said in,a statement
AIA,hesitates As, 
AIA,hesitates As,Sri Lanka
AIA,hesitates As, 
AIA,hesitates As,Sri Lanka
 The Inter Insurance Company Quiz,organised with,the intention
 The Inter Insurance Company Quiz,organised with,the intention
the Central Bank’s,the Central Bank’s SDFR of,4.50%
the Central Bank’s,the Central Bank’s SDFR against,$ 38.03 billion
the Central Bank’s,the Central Bank’s SDFR of,4.50%
the Central Bank’s,the Central Bank’s SDFR against,$ 38.03 billion
the Central Bank’s,the Central Bank’s SDFR of,4.50%
the Central Bank’s,the Central Bank’s SDFR against,$ 38.03 billion
 The Sustainable Trade Finance Proposition,builds into,Standard Chartered’s trade financing framework
the Loan Market Association,builds into,Standard Chartered’s trade financing framework
 The Sustainable Trade Finance Proposition,builds into,Standard Chartered’s trade financing framework
the Loan Market Association,builds into,Standard Chartered’s trade financing framework
 The Sustainable Trade Finance Proposition,builds into,Standard Chartered’s trade financing framework
the Loan Market Association,builds into,Standard Chartered’s trade financing framework
  AIA Insurance,claimed in,digital transformation
  AIA Insurance,claimed with,the introduction
 AIA,said in,this regard
 AIA,said in,this regard
 AIA,said in,this regard
Best Life Insurance Company,Sri Lanka for,two consecutive year
AIA,is As, 
AIA,is As,Sri Lanka
AIA,is at,the forefront
Best Life Insurance Company,Sri Lanka for,two consecutive year
AIA,is As, 
AIA,is As,Sri Lanka
AIA,is at,the forefront
Chubb Corp,bought for,$ 28.5 billion
Chubb Corp,bought with,retaining
Chubb Corp,bought for,$ 28.5 billion
Chubb Corp,bought with,retaining
People’s Bank,conducted As,  
People’s Bank,conducted As,part
People’s Bank,conducted As,  
People’s Bank,conducted As,part
People’s Bank,conducted As,  
People’s Bank,conducted As,part
 The Central Bank,introduced with,the intention
builder Carillion,spotting after,the collapses
builder Carillion,spotting after,the collapses
Softlogic Life,created in,2020
Softlogic Life,created in,2020
Softlogic Life,elevated during,a tough year
 Softlogic Life,ranked as,the seventh most transparent listed company
 Softlogic Life,ranked in,its latest report
 Softlogic Life,ranked as,the seventh most transparent listed company
 Softlogic Life,ranked in,its latest report
 Softlogic Life,ranked as,the seventh most transparent listed company
 Softlogic Life,ranked in,its latest report
 Softlogic Life,ranked as,the seventh most transparent listed company
 Softlogic Life,ranked in,its latest report
Henley & Partners,seen In, 
Henley & Partners,seen In,the past eight months
Henley & Partners,seen compared,to
Volek,says In, 
Volek,says In,terms
Volek,says In, 
Volek,says In,terms
Ceylinco Life,announced in,the backdrop
Ceylinco Life,announced in,the backdrop
the Central Bank,play with,a straight bat
the Central Bank,play with,a straight bat
the Central Bank,need For, 
the Central Bank,need For,this
the Central Bank,need For, 
the Central Bank,need For,this
DFCC Bank,DFCC Bank from,(
DFCC Bank,DFCC Bank from,third
DFCC Bank,DFCC Bank from,left
DFCC Bank,DFCC Bank from,(
DFCC Bank,DFCC Bank from,third
DFCC Bank,DFCC Bank from,left
DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
Merchant Acquiring Chrishan Jayamanne (right)  DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
Merchant Acquiring Chrishan Jayamanne (right)  DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
Merchant Acquiring Chrishan Jayamanne (right)  DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
Merchant Acquiring Chrishan Jayamanne (right)  DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
Merchant Acquiring Chrishan Jayamanne (right)  DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
DFCC Bank,President with,the aim
Merchant Acquiring Chrishan Jayamanne (right)  DFCC Bank,President with,the aim
Visa,committed to,that
Visa,committed to,that
 DFCC Bank,setting by,providing
 DFCC Bank,setting by,providing
 DFCC Bank,setting by,providing
 DFCC Bank,offers through,mhe use
 DFCC Bank,offers through,mhe use
HNBA,was amidst,the unprecedented adverse challenges
HNBA,was as,a Group
HNBA,was amidst,the unprecedented adverse challenges
HNBA,was as,a Group
the Board of Directors,thank for,a job
the Total Liabilities of the Group,grew by,18%
the Total Liabilities of the Group,grew to,23.5
the Total Liabilities of the Group,grew by,18%
the Total Liabilities of the Group,grew to,23.5
 HNBGI,increased to,256%
 HNBGI,increased from,226%
 HNBGI,increased from,in
 HNBGI,increased above,both
 HNBGI,increased above,well
 HNBGI,increased above,the minimum regulatory requirements
HNBGI,came with,a novel concept
 AIA,supported after,tax
AIA,delivered despite,unprecedented macroeconomic conditions
People’s Bank,introduced At, 
People’s Bank,introduced At,this occasion
People’s Bank,introduced in,lieu
a specially branded Vanitha Vasana Debit Card,introduced At, 
a specially branded Vanitha Vasana Debit Card,introduced At,this occasion
a specially branded Vanitha Vasana Debit Card,introduced in,lieu
People’s Bank,introduced At, 
People’s Bank,introduced At,this occasion
People’s Bank,introduced in,lieu
a specially branded Vanitha Vasana Debit Card,introduced At, 
a specially branded Vanitha Vasana Debit Card,introduced At,this occasion
a specially branded Vanitha Vasana Debit Card,introduced in,lieu
People’s Bank,presented to,Prime Minister Mahinda Rajapaksa
People’s Bank,introduced in,lieu
People’s Bank,introduced in,lieu
People’s Bank,introduced in,lieu
The Association of Professional Bankers,hold on,Monday 22 March
The Association of Professional Bankers,hold at,the Hilton Colombo
The Association of Professional Bankers,hold in,collaboration
a Research Symposium,hold on,Monday 22 March
a Research Symposium,hold at,the Hilton Colombo
a Research Symposium,hold in,collaboration
University of Sri Jayewardenepura,hold on,Monday 22 March
University of Sri Jayewardenepura,hold at,the Hilton Colombo
University of Sri Jayewardenepura,hold in,collaboration
The Association of Professional Bankers,hold on,Monday 22 March
The Association of Professional Bankers,hold at,the Hilton Colombo
The Association of Professional Bankers,hold in,collaboration
a Research Symposium,hold on,Monday 22 March
a Research Symposium,hold at,the Hilton Colombo
a Research Symposium,hold in,collaboration
University of Sri Jayewardenepura,hold on,Monday 22 March
University of Sri Jayewardenepura,hold at,the Hilton Colombo
University of Sri Jayewardenepura,hold in,collaboration
The Association of Professional Bankers,hold on,Monday 22 March
The Association of Professional Bankers,hold at,the Hilton Colombo
The Association of Professional Bankers,hold in,collaboration
a Research Symposium,hold on,Monday 22 March
a Research Symposium,hold at,the Hilton Colombo
a Research Symposium,hold in,collaboration
University of Sri Jayewardenepura,hold on,Monday 22 March
University of Sri Jayewardenepura,hold at,the Hilton Colombo
University of Sri Jayewardenepura,hold in,collaboration
The Association of Professional Bankers,hold on,Monday 22 March
The Association of Professional Bankers,hold at,the Hilton Colombo
The Association of Professional Bankers,hold in,collaboration
a Research Symposium,hold on,Monday 22 March
a Research Symposium,hold at,the Hilton Colombo
a Research Symposium,hold in,collaboration
University of Sri Jayewardenepura,hold on,Monday 22 March
University of Sri Jayewardenepura,hold at,the Hilton Colombo
University of Sri Jayewardenepura,hold in,collaboration
The Association of Professional Bankers,hold on,Monday 22 March
The Association of Professional Bankers,hold at,the Hilton Colombo
The Association of Professional Bankers,hold in,collaboration
a Research Symposium,hold on,Monday 22 March
a Research Symposium,hold at,the Hilton Colombo
a Research Symposium,hold in,collaboration
University of Sri Jayewardenepura,hold on,Monday 22 March
University of Sri Jayewardenepura,hold at,the Hilton Colombo
University of Sri Jayewardenepura,hold in,collaboration
The Association of Professional Bankers,hold on,Monday 22 March
The Association of Professional Bankers,hold at,the Hilton Colombo
The Association of Professional Bankers,hold in,collaboration
a Research Symposium,hold on,Monday 22 March
a Research Symposium,hold at,the Hilton Colombo
a Research Symposium,hold in,collaboration
University of Sri Jayewardenepura,hold on,Monday 22 March
University of Sri Jayewardenepura,hold at,the Hilton Colombo
University of Sri Jayewardenepura,hold in,collaboration
 Lakshman,grace as,the Chief Guest
the Association,conducted In, 
the Association,conducted In,the years 1999 and 2000
People’s,  Sri Lankan Insurance with,together
Sri Lanka Insurance Life,pay via,People’s Bank Cash Deposit Machines
People’s,  Sri Lankan Insurance with,together
Sri Lanka Insurance Life,pay via,People’s Bank Cash Deposit Machines
People’s,  Sri Lankan Insurance with,together
Sri Lanka Insurance Life,pay via,People’s Bank Cash Deposit Machines
People’s,  Sri Lankan Insurance with,together
Sri Lanka Insurance Life,pay via,People’s Bank Cash Deposit Machines
People’s,  Sri Lankan Insurance with,together
Sri Lanka Insurance Life,pay via,People’s Bank Cash Deposit Machines
the Council,decided As, 
the Council,decided As,a COVID-19 preventative measure
the AGM,hold as,a partly virtual gathering
the Council,decided As, 
the Council,decided As,a COVID-19 preventative measure
the AGM,hold as,a partly virtual gathering
Regnis (Lanka,(Ceylon from,April 2015 to 31 March 2018
Regnis (Lanka,(Ceylon from,April 2015 to 31 March 2018
Regnis (Lanka,(Ceylon from,April 2015 to 31 March 2018
(IFN,Winner for,‘Best Islamic Leasing Provider
(IFN,Winner by,Islamic Finance News’
Global Non-Banking Financial Services,Polls for,2020
(IFN,Winner for,‘Best Islamic Leasing Provider
(IFN,Winner by,Islamic Finance News’
Global Non-Banking Financial Services,Polls for,2020
(IFN,Winner for,‘Best Islamic Leasing Provider
(IFN,Winner by,Islamic Finance News’
Global Non-Banking Financial Services,Polls for,2020
(IFN,Winner for,‘Best Islamic Leasing Provider
(IFN,Winner by,Islamic Finance News’
Global Non-Banking Financial Services,Polls for,2020
(IFN,Winner for,‘Best Islamic Leasing Provider
(IFN,Winner by,Islamic Finance News’
Global Non-Banking Financial Services,Polls for,2020
‘Best Bank,‘Best Bank in,Sri Lanka
the Board,joined in,2003
 Udage,joined in,2004
LB Finance,joined in,2004
 Udage,joined in,2004
LB Finance,joined in,2004
 DFCC Bank,is among,the preferred banks
 DFCC Bank,is among,the preferred banks
 DFCC Bank,participates in,the ABD funded Tea Smallholder Credit Line
 DFCC Bank,participates in,the ABD funded Tea Smallholder Credit Line
 DFCC Bank,participates in,the ABD funded Tea Smallholder Credit Line
DFCC Bank,ensures Unlike, 
DFCC Bank,ensures Unlike,other financial institutions
DFCC Bank,ensures Unlike, 
DFCC Bank,ensures Unlike,other financial institutions
DFCC Bank,continue During, 
DFCC Bank,continue During,these uncertain times
DFCC Bank,continue During, 
DFCC Bank,continue During,these uncertain times
DFCC Bank,assures By, 
DFCC Bank,assures By,leveraging
DFCC Bank,continues to,this day
the National Equity Fund,trust in,1991
the NAMAL Acuity Value Fund,trust in,2009
the National Equity Fund,trust in,1991
the NAMAL Acuity Value Fund,trust in,2009
NAMAL,launched In, 
NAMAL,launched In,keeping
 NAMAL,generated since,inception
 NAMAL,generated since,inception
 NAMAL,generated since,inception
NAMAL,been in,the forefront
NAMAL,been in,the forefront
NAMAL,been in,the forefront
People’s Bank,People’s Bank on,behalf
People’s Bank,People’s Bank on,behalf
People’s,entitled In, 
People’s,entitled In,addition
People’s,entitled to,a 0.5% interest relief
Capital Maharaja Group,thanked for,working hand
NDB Group,positioned towards,assisting
EXCOM,took with,the participation
EXCOM,took with,the participation
EXCOM,took with,the participation
2021 EXCOM,took on,a virtual space
BOC,made by,supporting
BOC,made by,supporting
  Sohantha Wijesingha DFCC Bank,appointed as,Senior Vice President Corporate Banking
  Sohantha Wijesingha DFCC Bank,appointed with,effect
  Sohantha Wijesingha DFCC Bank,appointed from,4 January
  Sohantha Wijesingha DFCC Bank,appointed as,Senior Vice President Corporate Banking
  Sohantha Wijesingha DFCC Bank,appointed with,effect
  Sohantha Wijesingha DFCC Bank,appointed from,4 January
Wijesingha,oversee In, 
Wijesingha,oversee In,his new role
Wijesingha,oversee at,DFCC
Wijesingha,oversee In, 
Wijesingha,oversee In,his new role
Wijesingha,oversee at,DFCC
Wijesingha,oversee In, 
Wijesingha,oversee In,his new role
Wijesingha,oversee at,DFCC
Wijesingha,oversee In, 
Wijesingha,oversee In,his new role
Wijesingha,oversee at,DFCC
Wijesingha,oversee In, 
Wijesingha,oversee In,his new role
Wijesingha,oversee at,DFCC
the Industrial & Commercial Bank of China,being with,total assets
the Industrial & Commercial Bank of China,t in,total assets
China Construction Bank Corp,t in,total assets
the Industrial & Commercial Bank of China,t in,total assets
China Construction Bank Corp,t in,total assets
the Industrial & Commercial Bank of China,t in,total assets
China Construction Bank Corp,t in,total assets
the Industrial & Commercial Bank of China,t in,total assets
China Construction Bank Corp,t in,total assets
State,owned in,contrast
  The Colombo Stock Exchange,hosting for,2021
  The Colombo Stock Exchange,hosting on,the theme
CSE,  The Colombo Stock Exchange in,collaboration
the inaugural Issuer Forum,hosting for,2021
the inaugural Issuer Forum,hosting on,the theme
  The Colombo Stock Exchange,hosting for,2021
  The Colombo Stock Exchange,hosting on,the theme
CSE,  The Colombo Stock Exchange in,collaboration
the inaugural Issuer Forum,hosting for,2021
the inaugural Issuer Forum,hosting on,the theme
  The Colombo Stock Exchange,hosting for,2021
  The Colombo Stock Exchange,hosting on,the theme
CSE,  The Colombo Stock Exchange in,collaboration
the inaugural Issuer Forum,hosting for,2021
the inaugural Issuer Forum,hosting on,the theme
  The Colombo Stock Exchange,hosting for,2021
  The Colombo Stock Exchange,hosting on,the theme
CSE,  The Colombo Stock Exchange in,collaboration
the inaugural Issuer Forum,hosting for,2021
the inaugural Issuer Forum,hosting on,the theme
  The Colombo Stock Exchange,hosting for,2021
  The Colombo Stock Exchange,hosting on,the theme
CSE,  The Colombo Stock Exchange in,collaboration
the inaugural Issuer Forum,hosting for,2021
the inaugural Issuer Forum,hosting on,the theme
 The Working Capital Loan,repaid in,a period of three years
Department for Registration of Persons,  BOC Deputy General Manager Sales Department for Registration of Persons,P.
Department for Registration of Persons,  BOC Deputy General Manager Sales Department for Registration of Persons,P.
Department for Registration of Persons,  BOC Deputy General Manager Sales Department for Registration of Persons,P.
Bank of Ceylon,involve With, 
Bank of Ceylon,involve With,the signing
Bank of Ceylon,involve with,the DRP’s roadmap
Bank of Ceylon,involve With, 
Bank of Ceylon,involve With,the signing
Bank of Ceylon,involve with,the DRP’s roadmap
Bank of Ceylon,involve With, 
Bank of Ceylon,involve With,the signing
Bank of Ceylon,involve with,the DRP’s roadmap
Bank of Ceylon,involve With, 
Bank of Ceylon,involve With,the signing
Bank of Ceylon,involve with,the DRP’s roadmap
Bank of Ceylon,involve With, 
Bank of Ceylon,involve With,the signing
Bank of Ceylon,involve with,the DRP’s roadmap
